time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-07T15:43:38.770Z,40.2458343505859,-124.529998779297,16.8799991607666,2.57,md,11,290,0.1496,0.07,nc,nc75071666,2024-10-07T15:47:14.200Z,"23 km WSW of Petrolia, CA",earthquake,1.82,0.879999995,0.12,7,automatic,nc,nc
2024-10-07T12:21:29.995Z,10.7725,-62.8594,105.585,5,mb,54,83,1.795,0.84,us,us6000nx1y,2024-10-07T17:54:15.036Z,"22 km N of Yaguaraparo, Venezuela",earthquake,9.48,7.326,0.027,447,reviewed,us,us
2024-10-07T12:13:09.376Z,-22.3116,-68.0412,185.627,4.1,ml,17,150,1.226,0.41,us,us6000nx1w,2024-10-08T05:44:38.040Z,"68 km NNE of San Pedro de Atacama, Chile",earthquake,9.62,6.633,,,reviewed,us,guc
2024-10-07T11:53:29.180Z,-24.1558,-67.4254,225.597,4,ml,13,150,2.21,0.69,us,us6000nx1u,2024-10-08T06:04:16.040Z,"112 km W of San Antonio de los Cobres, Argentina",earthquake,12.37,14.752,,,reviewed,us,guc
2024-10-07T10:21:41.900Z,18.9876666666667,-67.2045,15.21,3.06,md,7,314,0.5249,0.23,pr,pr71462013,2024-10-07T10:34:58.550Z,"55 km NNW of San Antonio, Puerto Rico",earthquake,1.17,1.73,0.143742176139569,5,reviewed,pr,pr
2024-10-07T09:36:58.060Z,-19.5916,169.0501,139.233,5.5,mww,54,86,3.358,0.73,us,us6000nx1e,2024-10-08T09:40:00.673Z,"24 km WSW of Isangel, Vanuatu",earthquake,10.13,6.724,0.066,22,reviewed,us,us
2024-10-07T08:33:18.524Z,34.7421,24.8803,10,4.3,mb,51,229,0.545,0.47,us,us6000nx18,2024-10-08T07:52:42.040Z,"34 km S of Moíres, Greece",earthquake,5.48,1.918,0.09,35,reviewed,us,us
2024-10-07T07:00:38.360Z,18.6601666666667,-65.259,77.37,3.38,md,20,206,0.3515,0.26,pr,pr71461983,2024-10-07T08:37:48.040Z,"39 km N of Culebra, Puerto Rico",earthquake,2.03,1.32,0.0258529395323501,9,reviewed,pr,pr
2024-10-07T06:59:58.410Z,45.2166666666667,-112.469166666667,4.43,2.78,ml,33,70,0.1713,0.15,mb,mb90063138,2024-10-08T03:32:01.199Z,"13 km E of Dillon, Montana",earthquake,0.25,1.3,0.22295450843373,45,reviewed,mb,mb
2024-10-07T06:54:30.633Z,45.2248,-112.4752,13.656,4.1,mb,69,35,0.162,0.57,us,us6000nx10,2024-10-08T14:30:05.510Z,"12 km E of Dillon, Montana",earthquake,2.14,6.738,0.101,27,reviewed,us,us
2024-10-07T06:30:11.600Z,18.2338333333333,-68.4495,56.74,3.36,md,5,211,0.2866,0.4,pr,pr71461963,2024-10-07T06:52:15.300Z,"23 km SE of Boca de Yuma, Dominican Republic",earthquake,11.61,6.07,0.11502388155652,3,reviewed,pr,pr
2024-10-07T06:18:46.515Z,38.2858,23.2711,10,4.7,mww,144,38,1.037,0.62,us,us6000nx0u,2024-10-07T07:36:15.040Z,"6 km SW of Thívai, Greece",earthquake,5.36,1.845,0.069,20,reviewed,us,us
2024-10-07T05:54:58.640Z,34.8624,26.2324,10,4.8,mb,101,149,1.18,0.41,us,us6000nx0t,2024-10-07T08:10:57.040Z,"37 km S of Palekastro, Greece",earthquake,5.65,1.734,0.056,97,reviewed,us,us
2024-10-07T05:51:17.399Z,-18.9802,-173.1591,10,5.3,mb,41,56,2.922,0.6,us,us6000nx0s,2024-10-07T06:10:04.040Z,"94 km ESE of Neiafu, Tonga",earthquake,6.64,1.864,0.101,33,reviewed,us,us
